video_id,transcript,word_count
2-4autDbHVQ,"Hey guys, my name is Maria. I am originally from Romania, now living in the US, and I just wanted to make a very quick video about Forskolin. For most of my life I've struggled with weight gain. In the last two years I've had some success with the THM program, for those of you who are familiar with that. But recently a friend of mine was having a lot of success with Forskolin. And actually before trying Forskolin I had never taken any weight loss supplement. None at all. But it was pretty obvious that this was working well for Anette, and she has a similar body type to me so I figured, why not give it a try. I've been taking it for 9 weeks now, just over 9 weeks. And I'm down 13 pounds. And honestly I feel so much healthier. The biggest difference I think is my appetite. I don't have the same urge to eat like I did. I just feel a lot better. I dont believe Forskolin is some magic pill, because it's not. You still need to develop good eating habits. But there is no doubt that it has worked really well for me to control my appetite. So I would definitely recommend giving it a try. Click the link in the description and you can buy it where I bought mine. Thanks guys for watching, and have a great day. Oh and if you have any questions about Forskolin or about my weight loss journey feel free to send me a message. Bye!",261
SqAiJrvHXNA,"Hi this is Donnie, welcome back to Flooring My Life product reviews Today we're going to give a review on Reward Hardwood Flooring First I want to go over a little of the company background of Reward Then I'll go over the design, construction, finish, maintenance, and installation of this product Reward is actually a brand of Galleher company Galleher is a large distributer here on the west coast and Reward is actually manufactured in China but they do a really good job of quality control by having employees actually employed in their China manufacture facilities The design is really what makes this product line You're going to have a lot of species options with red oak, white oak, maple, birch, American walnut, American cherry hickory, a lot of stain colors within those species as well also some exotics. Brazilian cherry, Santos mahogany, Brazilian cherry So a lot of design options as well as a lot with the texture so you'll have smooth, hand scraped, chatter marks, bleeding, a lot of different options for textures You have a lot of different things you can really do with the floor The product is made up pretty well. It's an engineered product overall There's half inch and three eighths options in terms of thickness 1 mil, 2 mil, 3 mil wear layer depending on what actual style you go with within Reward The longevity of the product will definitely depend on how thick of a wear layer you end up purchasing You're also going to get some good width options. Some products come with 3 and 5 some only have 3, you also have some random width lines in here where you'll get 3, 5, 6 and 7 So there's a lot of different width options you can do which is really good for design Length is pretty average. You're going to get 48 inch average length. It is random so probably a little big above average in a lot of things you see out there so nothing overly spectacular about the board length. In terms of the finish, it's got a great finish, it has the aluminum oxide finish on it It's always important to keep in mind, whatever finish you buy it's going to scratch So yes this hardwood will scratch but it also has a very nice 25 year warranty on the finish The product itself, the maintenance is very very easy Just like you would maintain any other hardwood floor, you're going to sweep dust mop, wipe up spills and every once in a while you can damp mop Make sure you keep felt pads under furniture, things like that Installation really has a lot of options here. You can nail it, staple, glue, float That means you can pretty much put it in every room in your house Your basement all the way up to your top floor kitchen, bathroom. Definitely don't recommend the bathroom but any common space, this product can be installed there So we kind of gave a basic overview of the design, you have a lot of design options within this line. It can be installed pretty much anywhere…very easy to maintain It's a very quality constructive product I think overall this is a great buy. This floor itself is a value choice. A great overall purchase no matter which one you buy The price and the value always match with Reward Hardwood Flooring This is Donnie with Flooring My Life product reviews. Thanks for watching",583
YbuG8xyUO-o,"- Hey there. It's Blake Bogese, and I have some great news for you. Your loan is out of processing and is now with our underwriters. Our underwriters have the final say on your mortgage application. They're the ones that make sure all the i's are dotted and the t's are crossed. Underwriting turn times typically take about 72 hours, and as soon as you loan is conditionally approved, you will be the first one to know. Please check your email, and I'll send you another video like this in a couple of days. Thank you so much, and I'm so excited for you! We are so close now!!",109
wd8VQ5E7o7o,"My interest in the LSE program really focused on my interest in sustainability. As an undergraduate student at Portland State I got really involved in the Take Back the Tap campaign, which is involved in installing water bottle refilling stations and I knew that as I was looking for a graduate program that something like the LSE program would be a great place where I could continue to make change but also learn about how to kind of empower other people in making change, specifically in kind of educational contexts. One of the attributes about the LSE program that I think makes it stand out more than anything else is its strong focus on leadership and not leadership in this kind of traditiona,l kind of top-down ""I'm gonna show you how to fix the problems"", but leadership in a more engaged and empowering sort of way. Really focuses on getting people around the table to to solve problems together rather than kinda following directions, so I think that that's one of the things that makes it unique and makes it one of those things that I think the graduates from the LSE program are gonna do some pretty amazing things. We're all focused on solving problems.",206
QYp0lGhyL6A,"Hi there, Eric Bakker, naturopath and author of Candida Crusher with another frequently asked question. Can I get fluconazole over the counter? You can get it over the counter and it's become recently available now in many countries as an OTC or over-the-counter drug, but why would you want to take a drug like this over the counter without seeing a doctor. Fluconazole's quite a powerful drug with many potential side effects. If you go to many databases online, you can read about all the nasty side effects from diflucan or fluconazole. It has some very powerful effects on the liver. So my advice to you if you must take this drug is to take it in a very short period of time and certainly don't repeatedly take this drug. Once you've finished your course, ask your naturopath or health care professional if you can go on a course of St. Mary Thistle, a good herb to help mop up any liver toxins. Another good solution for you would be to use a standardized garlic extract, which is going to help clear residues from your liver. Beet root and carrot juice are other good alternatives, as is drinking water with lemon juice in it. But my advice would be not to rely on diflucan in the first place and try and look for alternatives. In my book, Candida Crusher, you can read all about the alternatives to diflucan. Whether you have a vaginal infection or jock itch, or throat yeast infection or mouth, there are many natural alternatives you can use. So my advice would be not to take this drug if you can avoid it. So I hope that answers your question.",283
94ULum9MYX0,"This short video is to remind us about a new heaven and a new earth. 1. This earth as we know it today will disappear. The seas will also cease to exist. But not to worry, for those whose hobbies are connected to nature, like fishing, in the new heaven and the new earth there will exist many other things that are a million times more exciting than everything that we like and enjoy on this earth today. No longer will there be people who succumb to underwater currents or shipwrecks that have been caused by storms, or any other accidents involving any bodies of water. 2. The Holy City New Jerusalem The beauty and brilliance of the new heaven and new earth will be something that cannot be painted with words because humans have no concept of it. Only God is able to conceive, design and create things so spectacular motivated by His great love towards us. 3. God dwells in the midst of humans. In the new heaven and new earth we are His beloved people and children. We experience unimaginable happiness, relief and joy. Who are we, to be able to see the beautiful and perfect face of God? All of this possible only because of what Jesus has done on the cross. 4. There will no longer be tears and death. Like a father who wipes away the tears of His children, so God will wipe away all the tears from our eyes. There will be no more death, no more mourning, no more lamentation and sorrow All painful and heartbreaking things will pass away. 5. Everything will be new and very beautiful. There will be things that are beyond the cognition and imagination of the human mind. No eye has seen and no ear has heard about the things that are there. Not even the most wonderful dream can match an iota of the beauty of the new heaven and earth. 6. There will be a fountain of life. For those thirsty after the water of the fountain of life, it will be given freely by the Alpha and Omega, the Beginning and the End. 7. Only those victorious will enter it. The fearful, the unbelieving, the vile, murderers, the immoral, witchcraft practitioners, idol-worshippers, liars will not enter but be cast into the lake of fire and brimstone. The above is taken from Revelation 21:1-8. We can be partakers of the new heaven and the new earth only because of what Jesus has done on the cross. Therefore, make the Lord Jesus the centre of your life because all other things will pass away.",439
laxadgca3Fo,"Australia's mining industry has become one of the largest sectors of the nation's economy. A new report from Deloitte indicates that the industry is starting to grow more slowly this year. Deloitte said that Australia's mining industry has started to saturate, which creates concerns over future economic growth. Deloitte said that the maturation of Australia's mining industry could have implications for the global economy. Economists in the United Kingdom feel that the challenges to the Australian mining industry could extend their own country's double dip recession."" For the complete article, please go to Big4.com",94
W1CWpktWtTs,"I always say, ""just start by being curious!"" What does he actually want to know about? Maybe there's a sports game that just happened. Maybe there's some political event. Maybe there was an article in the newspaper. What does he actually want to talk about? Ask a question about that. You don't realize what you can trigger in somebody else when you ask a question. She was dynamic, very energetic, keep everyone on their toes and really really entertaining... very very good content! Michelle presented things in a really fresh way. She was just really dynamic funny, cute, but definitely delivered the punch- a lot of good information. She had such a great personality- she was very engaging. We're going to look at three laws here: familiarity... stay in their mind, giving... that's the most important. How do we give? Because that strengthen the relationship... and of course patience! Which is the last chapter because it's the hardest one. Don't just go to those professional groups. Don't just go to the ones that you think you should belong to. Go to the ones that you're actually interested in belonging. Social media is used and oftentimes abused, but more effectively used in corporations and organizations and how they can successfully use it and Michelle hits on that... Jenna Lawrence Jenna Lawrence, are you here? Hi! She connected with me on LinkedIn before today. Her name is in my head right now... so you can connect to somebody before an event to say, ""Hey I'm looking forward to meeting you at this event."" Now I'm going to seek that woman out because her name is in my head. Nice job. Nice job. How many people tweet? Steve- tell me why you tweet. I just tweeted about you! ...Oh thank you! that was not a plant! Tiny in size, but amazing in dynamic. ""Awww..."" I didn't get it at first, but what I can tell you is now that I've started tweeting, it's amazing who I'm connecting to. People I would never connect to... On Facebook you can figure out how they know you and how they're connected and anybody who likes my Facebook page, I can look at them I look them up, I see who they know and can say ""Oh, that's how they found me..."" Twitter? I don't know how to do it... but I'm meeting all these people that I would have never met otherwise... and then when they follow me I will actually say you know, ""thanks for following me"" and I'll say something about them. I'll go to their website and take the few seconds to look at their description, their website, their mission, some of their tweets and I will actually say something specific and personal about them and then a conversation happens back and forth. I enjoyed Michelle's quirkiness, her funniness the most and and she led you into some great information but she kept it simple, kept the fast, kept it funny. Her ideas with google and other technology apps was fantastic. I can't wait to get back to my office to start using them... Giving. This is often what challenges people because I really do believe that people want to give. If they can do something for somebody else they want to do that but they just don't always know how or what. So I'm gonna give you some idea here. Three I's... Introduce, Invite, Inform... she's the kind of speaker that I really couldn't take my eyes off of and listen to every word and try to just absorb her energy and enthusiasm and all of her wisdom. I met Amy when I was at Columbia Women and Business, my first ever time I went there. I wasn't a speaker yet, and she was... and I was like, ""this woman is awesome"" and I said, ""Can I take you out to lunch?"" and she gave me two hours of her time for me to pick her brain... and I thought well how am I ever going to give back? This is where patience comes in because I couldn't. I'm sitting at the gym at my kids school and she walks by and she's like Michelle? Baby? Omg! It was one of those... We sat there and started chatting for over an hour... and I said, ""I just wrote about you!"" She's looking like, ""What are you talking about?"" Because she had no idea I was writing a book. I said, ""You know it was because of you- that you SAT with me, that I have SAT with over 100 people who have wanted to start their own businesses... and she just kind of... she literally lost her breath for a moment. I get a little choked up because it was a really special moment... and one of the things that you can give when you have nothing else is appreciation. You can give recognition. You can give credit and that's what I gave to Amy. So be patient with yourself. Always look for those opportunities, but be okay that you can't do them yet. Michelle is an extremely energetic, dynamic speaker. She gave some tremendously useful tips today and I thought that her stories just make everything so personal and they brought every example that she gave to life, and it made it feel like- I see how this is so important and useful. What I liked about her style was the fact that she shared stories and that was the reason why I was able to relate to a lot of the things that she was talking about. So here's what I want you to think about... that patience with allowing the relationship to grow. Sometimes we don't click instantaneously, but when we see potential or we have an interest or desire to connect with this person, give it time. I'm gonna tell you my mom's rule of dating. She used to tell me this when I was in high school. Give a guy three chances Michelle if on the first date you're having a bad time, he's having a bad day. If on the second date you're having a bad time you're having a bad day. If on the third day you're having a bad time, well you gave it a shot. Okay... I don't know if three is the magic number but when it comes to relationships give it more than one. I made some good notes for myself definitely. I love that view that you put forth, that it's about the long-term relationship. I love that. That's very helpful and comforting. I want you to think about networking not as need... because we're not networking for need. We're not networking for now. You are building relationships that will sustain you. You are networking for life... because the network that you build because you want to, because you get to, that's the one that will sustain and carry you through.",1161
1J9Fa995Ojs,"embossing fun and funky patterns into fondant has never been easier with the new pattern embossers by Wilton these updated patterns create subtle textures and hard to achieve patterns into fondant or gum paste, the four new rollers come individually packaged and are designed to work perfectly with our current pattern embossing tool which is now been repackaged to include the Dot pattern embosser the burlap, geometric, leopard and quilt pattern embossers are perfect addition to any decorators tool set just pop the roller in the handle and you're ready to roll use the embossers to add detail to a fondant ribbon or cover the entire cake with decorative designs the possibilities are endless and the emboss designs work great for easy highlighting with Wilton color dust pearl dust color mist or edible food writing markers. Wilton pattern embossers make it easy so you can add beautiful accents and designs to any cake",153
hUBQrLjm4M4,"Advertising that’s helpful for students that are prospects looking for education range anywhere from television commercials that they see while they’re watching TV, and it really brings back the brand and to mind. And a lot of people will go to the internet and then search out for educational opportunities. You can use direct mail, radio, billboard displays. There’s so many different avenues to brand the school, so that when the student is really ready to take that next step and do their search, they think of the company that they’ve seen branded.",93
