trait,variant,mae,rmse,r2,pearson_r
curiosity,Full model (RF + calibration),0.8316,1.0083,0.2289,0.4786
curiosity,No calibration (RF raw),0.8318,1.0109,0.225,0.4761
curiosity,Acoustic only,0.8691,1.0487,0.1658,0.4118
curiosity,Lexical only,0.9176,1.0729,0.1269,0.3568
curiosity,Baseline: Mean predictor,0.9933,1.1486,-0.0006,
curiosity,Baseline: Linear Regression,0.8573,1.0305,0.1946,0.4413
critical_thinking,Full model (RF + calibration),0.8531,1.0307,0.1724,0.4177
critical_thinking,No calibration (RF raw),0.8428,1.0214,0.1873,0.4341
critical_thinking,Acoustic only,0.8876,1.063,0.1198,0.3554
critical_thinking,Lexical only,0.8978,1.0708,0.1067,0.3326
critical_thinking,Baseline: Mean predictor,0.9718,1.1341,-0.0019,
critical_thinking,Baseline: Linear Regression,0.8873,1.0526,0.1369,0.3745
creativity,Full model (RF + calibration),0.7469,0.9074,0.2815,0.5318
creativity,No calibration (RF raw),0.754,0.9108,0.2762,0.5279
creativity,Acoustic only,0.7722,0.9256,0.2525,0.5034
creativity,Lexical only,0.8382,1.0014,0.1249,0.3544
creativity,Baseline: Mean predictor,0.9048,1.0708,-0.0005,
creativity,Baseline: Linear Regression,0.775,0.9373,0.2334,0.4832
