trait,type,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,cv_mae,n_features,n_train,n_test
openness,Big5,0.445,0.6561,0.6634,0.9023,0.6701,0.1912,0.6891,37,1608,403
conscientiousness,Big5,0.3734,0.5444,0.5392,0.7592,0.6368,0.1013,0.5798,37,1608,403
extraversion,Big5,0.4221,0.6412,0.6294,0.9503,0.6742,0.2239,0.6711,37,1608,403
agreeableness,Big5,0.4672,0.6338,0.7106,0.8577,0.6795,0.1793,0.7398,37,1608,403
neuroticism,Big5,0.227,0.3654,0.2936,0.4706,0.6317,0.1044,0.3627,37,1608,403
interview_score,Performance,0.4717,0.7113,0.7091,1.0861,0.6724,0.1705,0.7336,37,1608,403
overall_performance,Performance,0.4604,0.7109,0.691,1.0341,0.6794,0.1425,0.7127,37,1608,403
curiosity_score,C3,0.4163,0.7282,0.5308,0.9163,0.7526,0.2457,0.7463,37,1608,403
critical_thinking_score,C3,0.4031,0.6582,0.5115,0.8533,0.7161,0.1607,0.6875,37,1608,403
creativity_score,C3,0.4163,0.7282,0.5308,0.9163,0.7526,0.2457,0.7463,37,1608,403
