trait,rank,feature,importance
openness,1,word_count,0.245293
openness,2,mfcc_1_mean,0.041741
openness,3,zcr_mean,0.037398
openness,4,avg_word_length,0.036815
openness,5,energy_mean,0.036173
openness,6,mfcc_3_mean,0.033822
openness,7,mfcc_12_mean,0.028451
openness,8,mfcc_0_mean,0.028137
openness,9,mfcc_2_std,0.027325
openness,10,mfcc_2_mean,0.026926
conscientiousness,1,word_count,0.198206
conscientiousness,2,mfcc_12_mean,0.043079
conscientiousness,3,mfcc_7_mean,0.033644
conscientiousness,4,mfcc_3_mean,0.032567
conscientiousness,5,mfcc_2_std,0.032281
conscientiousness,6,energy_mean,0.032191
conscientiousness,7,mfcc_10_mean,0.031859
conscientiousness,8,pitch_std,0.028575
conscientiousness,9,mfcc_1_mean,0.027361
conscientiousness,10,mfcc_11_mean,0.027322
extraversion,1,word_count,0.134539
extraversion,2,energy_mean,0.083743
extraversion,3,zcr_mean,0.044184
extraversion,4,mfcc_4_std,0.036496
extraversion,5,mfcc_12_mean,0.034693
extraversion,6,mfcc_2_std,0.034638
extraversion,7,avg_word_length,0.034192
extraversion,8,mfcc_0_mean,0.033654
extraversion,9,mfcc_8_mean,0.029581
extraversion,10,mfcc_12_std,0.028738
agreeableness,1,word_count,0.215776
agreeableness,2,energy_mean,0.044172
agreeableness,3,mfcc_1_mean,0.040811
agreeableness,4,mfcc_10_mean,0.032809
agreeableness,5,mfcc_7_mean,0.029916
agreeableness,6,mfcc_8_std,0.029644
agreeableness,7,mfcc_5_mean,0.029542
agreeableness,8,pitch_mean,0.027921
agreeableness,9,mfcc_9_mean,0.026683
agreeableness,10,mfcc_4_std,0.025479
neuroticism,1,word_count,0.085767
neuroticism,2,mfcc_7_mean,0.051244
neuroticism,3,energy_mean,0.043979
neuroticism,4,mfcc_3_mean,0.035908
neuroticism,5,mfcc_6_std,0.033226
neuroticism,6,mfcc_11_mean,0.032263
neuroticism,7,mfcc_9_mean,0.03214
neuroticism,8,avg_word_length,0.029828
neuroticism,9,mfcc_8_std,0.028108
neuroticism,10,mfcc_6_mean,0.027965
interview_score,1,word_count,0.22981
interview_score,2,energy_mean,0.06654
interview_score,3,mfcc_0_std,0.04975
interview_score,4,mfcc_0_mean,0.034964
interview_score,5,mfcc_10_mean,0.034597
interview_score,6,energy_std,0.032054
interview_score,7,mfcc_8_mean,0.029989
interview_score,8,spectral_centroid_mean,0.026889
interview_score,9,mfcc_2_std,0.025496
interview_score,10,mfcc_11_mean,0.0249
overall_performance,1,word_count,0.24511
overall_performance,2,energy_mean,0.071224
overall_performance,3,zcr_mean,0.037953
overall_performance,4,mfcc_1_mean,0.031043
overall_performance,5,mfcc_2_std,0.029807
overall_performance,6,mfcc_2_mean,0.029508
overall_performance,7,mfcc_0_std,0.026883
overall_performance,8,avg_word_length,0.026676
overall_performance,9,pitch_std,0.024753
overall_performance,10,mfcc_1_std,0.024526
