trait,rank,feature,importance
curiosity_score,1,word_count,0.267176
curiosity_score,2,energy_mean,0.044997
curiosity_score,3,mfcc_2_std,0.039019
curiosity_score,4,avg_word_length,0.030916
curiosity_score,5,mfcc_10_mean,0.027627
curiosity_score,6,energy_std,0.026585
curiosity_score,7,mfcc_4_mean,0.025408
curiosity_score,8,mfcc_4_std,0.02411
curiosity_score,9,mfcc_8_std,0.02329
curiosity_score,10,pitch_mean,0.022083
critical_thinking_score,1,word_count,0.212048
critical_thinking_score,2,mfcc_2_std,0.033444
critical_thinking_score,3,energy_std,0.030006
critical_thinking_score,4,mfcc_10_mean,0.029951
critical_thinking_score,5,energy_mean,0.028986
critical_thinking_score,6,mfcc_5_mean,0.027408
critical_thinking_score,7,mfcc_7_mean,0.027254
critical_thinking_score,8,mfcc_11_mean,0.027181
critical_thinking_score,9,mfcc_8_mean,0.026612
critical_thinking_score,10,mfcc_9_mean,0.025826
creativity_score,1,word_count,0.267176
creativity_score,2,energy_mean,0.044997
creativity_score,3,mfcc_2_std,0.039019
creativity_score,4,avg_word_length,0.030916
creativity_score,5,mfcc_10_mean,0.027627
creativity_score,6,energy_std,0.026585
creativity_score,7,mfcc_4_mean,0.025408
creativity_score,8,mfcc_4_std,0.02411
creativity_score,9,mfcc_8_std,0.02329
creativity_score,10,pitch_mean,0.022083
