trait,rank,feature,importance
Curiosity,1,covarep_f57_min,0.08247335789417697
Curiosity,2,unique_word_count,0.05262099531597001
Curiosity,3,covarep_f18_min,0.03685515250495837
Curiosity,4,covarep_f8_mean,0.032558153436129465
Curiosity,5,covarep_f10_q75,0.024483206372348448
Curiosity,6,covarep_f24_q75,0.02074170264319757
Curiosity,7,covarep_f14_q25,0.019925820596156326
Curiosity,8,covarep_f55_max,0.018740936974053685
Curiosity,9,covarep_f67_max,0.017148765443671606
Curiosity,10,covarep_f25_q25,0.016762378689244246
Critical Thinking,1,covarep_f57_min,0.0534833787153253
Critical Thinking,2,covarep_f18_q75,0.04429795693994362
Critical Thinking,3,unique_word_count,0.03611429202720111
Critical Thinking,4,covarep_f59_min,0.02943886544323709
Critical Thinking,5,covarep_f18_median,0.023128570168663036
Critical Thinking,6,covarep_f25_q25,0.021675267856784378
Critical Thinking,7,covarep_f32_max,0.021360241075929595
Critical Thinking,8,covarep_f10_q75,0.021256427397531103
Critical Thinking,9,covarep_f22_min,0.018069494983532042
Critical Thinking,10,word_count,0.01780536228041286
Creativity,1,unique_word_count,0.08636183318601351
Creativity,2,word_count,0.07475498768802674
Creativity,3,long_word_count,0.06914438502519858
Creativity,4,char_count,0.056064552880733046
Creativity,5,sentence_count,0.05313176662231576
Creativity,6,covarep_f18_q75,0.04198776870166365
Creativity,7,covarep_f60_median,0.03137889861402783
Creativity,8,question_mark_count,0.02668962146830939
Creativity,9,covarep_f2_mean,0.025255026159533508
Creativity,10,covarep_f10_q75,0.022769785543985357
